,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,NAME,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_011E,B01001_011M,B01001_012E,B01001_012M,B01001_013E,B01001_013M,B01001_014E,B01001_014M,B01001_015E,B01001_015M,B01001_016E,B01001_016M,B01001_017E,B01001_017M,B01001_018E,B01001_018M,B01001_019E,B01001_019M,B01001_020E,B01001_020M,B01001_021E,B01001_021M,B01001_022E,B01001_022M,B01001_023E,B01001_023M,B01001_024E,B01001_024M,B01001_025E,B01001_025M,zip code tabulation area
39,ZCTA5 02130,916,179,612,198,702,232,387,130,192,87,423,333,407,215,1054,258,2261,361,2055,310,1640,267,957,180,1432,260,1039,233,768,145,358,123,520,149,285,93,412,110,317,114,207,72,151,65,217,84,02130
40,ZCTA5 02131,1267,294,831,204,635,162,427,132,264,115,225,118,141,80,390,140,1315,317,1186,219,1187,240,1212,248,1141,273,1101,208,774,194,483,136,513,126,201,83,285,167,395,123,242,85,228,108,188,95,02131
41,ZCTA5 02136,891,195,777,201,1273,257,767,235,413,168,170,88,168,85,720,222,1211,373,967,225,661,215,1132,251,825,183,844,195,921,202,435,146,364,111,213,104,197,78,338,135,275,107,268,107,201,79,02136
42,ZCTA5 02138,594,131,622,152,392,141,220,88,1552,305,994,215,612,175,1186,241,2839,446,1747,275,972,181,704,149,832,209,560,114,584,140,258,83,542,152,200,65,246,82,506,122,309,108,206,64,174,74,02138
43,ZCTA5 02139,709,139,582,140,626,153,252,91,811,226,425,173,528,183,1707,332,3449,502,2448,294,1286,222,1051,166,688,148,696,164,627,157,296,98,520,134,191,72,274,78,291,98,262,119,141,77,125,79,02139
44,ZCTA5 02140,410,137,505,196,401,163,168,89,95,53,148,112,63,40,355,128,979,233,965,202,748,194,598,174,453,158,645,176,483,128,310,111,143,52,70,45,256,110,141,51,145,64,105,76,74,50,02140
45,ZCTA5 02148,1586,316,1531,283,1359,256,888,235,746,176,575,259,543,196,1535,328,3195,463,2476,359,2157,385,2339,390,2027,306,1805,311,1851,274,727,206,680,161,323,123,570,166,557,126,464,160,472,139,295,126,02148
46,ZCTA5 02149,1377,312,1190,284,1344,277,854,231,567,191,214,124,292,132,994,253,2019,466,1705,413,1472,294,1674,307,1643,271,1469,307,1094,236,351,155,643,186,167,71,279,94,413,122,615,175,293,85,254,122,02149
47,ZCTA5 02347,196,71,367,150,386,127,208,105,110,76,66,44,26,31,188,114,229,98,171,69,313,87,372,96,400,121,396,103,396,96,226,92,258,91,217,100,102,63,116,57,170,77,47,46,58,53,02347
48,ZCTA5 02601,297,186,205,109,226,151,172,114,146,94,95,83,100,90,346,224,688,222,406,169,631,212,402,150,529,161,350,132,517,144,293,116,268,103,202,90,132,75,230,101,153,61,90,43,67,47,02601
