_pageUrl,_position,income,b190,description
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,62,employment_female_protective_service_occupations,C24010_057E,"Number of employed female 'Protective service occupations:' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,63,employment_female_fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors,C24010_058E,"Number of employed female 'Fire fighting and prevention, and other 
protective service workers including supervisors' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,64,employment_female_law_enforcement_workers_including_supervisors,C24010_059E,"Number of employed female 'Law enforcement workers including supervisors' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,65,employment_female_food_preparation_and_serving_related_occupations,C24010_060E,"Number of employed female 'Food preparation and serving related 
occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,66,employment_female_building_and_grounds_cleaning_and_maintenance_occupations,C24010_061E,"Number of employed female 'Building and grounds cleaning and maintenance 
occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,67,employment_female_personal_care_and_service_occupations,C24010_062E,"Number of employed female 'Personal care and service occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,68,employment_female_sales_and_office_occupations,C24010_063E,"Number of employed female 'Sales and office occupations:' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,69,employment_female_sales_and_related_occupations,C24010_064E,"Number of employed female 'Sales and related occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,70,employment_female_office_and_administrative_support_occupations,C24010_065E,"Number of employed female 'Office and administrative support occupations' 
for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,71,employment_female_natural_resources_construction_and_maintenance_occupations,C24010_066E,"Number of employed female 'Natural resources, construction, and maintenance 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,72,employment_female_farming_fishing_and_forestry_occupations,C24010_067E,"Number of employed female 'Farming, fishing, and forestry occupations' for 
the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,73,employment_female_construction_and_extraction_occupations,C24010_068E,"Number of employed female 'Construction and extraction occupations' for the 
civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,74,employment_female_installation_maintenance_and_repair_occupations,C24010_069E,"Number of employed female 'Installation, maintenance, and repair 
occupations' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,75,employment_female_production_transportation_and_material_moving_occupations,C24010_070E,"Number of employed female 'Production, transportation, and material moving 
occupations:' for the civilian population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,76,employment_female_production_occupations,C24010_071E,"Number of employed female 'Production occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,77,employment_female_transportation_occupations,C24010_072E,"Number of employed female 'Transportation occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,78,employment_female_material_moving_occupations,C24010_073E,"Number of employed female 'Material moving occupations' for the civilian 
population age 16 and over"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,79,poverty,B17001_002E,"Number of persons whose income in the past 12 months is below the poverty 
level"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,80,poverty_male,B17001_003E,"Number of male persons whose income in the past 12 months is below the 
poverty level"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,81,poverty_female,B17001_017E,"Number of female persons whose income in the past 12 months is below the 
poverty level"
